Brand,Model,Year,Mileage,Engine,Fuel_type,Transmission,Ext_col,Int_col,Accident,Clean_title,Price
Lincoln,MKC Reserve,2016,100000,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,White,White,None reported,Yes,24000
Ford,Excursion Limited,2001,333361,250.0HP 7.3L 8 Cylinder Engine Diesel Fuel,Diesel,A/T,Beige,Black,At least 1 accident or damage reported,Yes,17000
Land,Rover Discovery SE,2018,63295,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,White,Blue,None reported,Yes,29993
Land,Rover Defender V8,2022,3000,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Black,Black,None reported,Yes,96500
Chevrolet,Silverado 1500 2LT,2014,102604,355.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,E85 Flex Fuel,6-Speed A/T,Gray,Gray,None reported,Yes,25500
Mercedes-Benz,AMG G 63 Base,2017,39800,563.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Gasoline,7-Speed A/T,Red,White,None reported,Yes,99000
Ford,F-250 XLT,2019,124000,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,E85 Flex Fuel,6-Speed A/T,Gray,White,None reported,Yes,40100
Tesla,Model 3 Base,2022,12080,271.0HP Electric Motor Electric Fuel System,,A/T,Black,Black,None reported,Yes,36750
Lexus,LX 570 Three-Row,2018,39300,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,69500
INFINITI,QX60 Luxe,2019,51000,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,CVT Transmission,–,Gray,At least 1 accident or damage reported,Yes,29000
Rivian,R1S Adventure Package,2023,250,835.0HP Electric Motor Electric Fuel System,,1-Speed A/T,Black,Green,,,97500
Land,Rover Range Rover Sport 3.0L Supercharged HSE,2017,67000,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Beige,Gray,None reported,Yes,35999
INFINITI,QX60 Base,2014,95400,265.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Beige,White,,,14195
Hyundai,Sonata GLS,2013,136991,198.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed A/T,Gray,Gray,None reported,Yes,11000
Toyota,Tundra Limited,2022,3959,389.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,Gasoline,10-Speed A/T,Gray,Blue,None reported,Yes,55000
Jeep,Grand Cherokee Limited,2020,47500,293.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Purple,None reported,Yes,31000
Ford,F-350 Lariat Crew Cab Super Duty DRW,2005,176691,325.0HP 6.0L 8 Cylinder Engine Diesel Fuel,Diesel,A/T,Beige,White,At least 1 accident or damage reported,Yes,13000
Tesla,Model 3 Performance,2021,33000,455.0HP Electric Motor Electric Fuel System,,1-Speed A/T,White,Red,None reported,Yes,55000
Mercedes-Benz,CLS-Class CLS 550,2014,34600,402.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,27500
RAM,2500 SLT,2014,84500,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Gray,Black,None reported,Yes,34000
Kia,Sorento Hybrid EX,2022,36100,227.0HP 1.6L 4 Cylinder Engine Gas/Electric Hybrid,Hybrid,6-Speed A/T,White,Black,None reported,Yes,37500
Hyundai,Genesis 3.8,2015,92225,311.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Black,At least 1 accident or damage reported,Yes,17000
Jeep,Compass Latitude,2020,17500,180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Gasoline,9-Speed A/T,Black,Silver,None reported,Yes,25695
Ford,Fusion SE,2011,114323,175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed A/T,Black,Black,None reported,Yes,6000
Toyota,FJ Cruiser Base,2014,92000,260.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Beige,None reported,Yes,27500
BMW,430 Gran Coupe i xDrive,2018,29025,2.0 Liter DOHC T/C,Gasoline,Automatic,Black,Carbon Black Metallic,None reported,,29998
Dodge,Durango SRT 392,2021,17000,475.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Black,Blue,None reported,Yes,65000
Hyundai,Santa Fe GLS,2015,96476,290.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed A/T,Gray,White,None reported,Yes,13000
Volkswagen,Atlas 3.6L SEL Premium,2021,36311,3.6L V6 24V GDI DOHC,Gasoline,8-Speed Automatic,Titan Black / Quarzit,Deep Black Pearl Effect,None reported,Yes,39127
Land,Rover Range Rover Sport 5.0L Supercharged Dynamic,2016,56842,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Black,Silver,None reported,Yes,35000
Nissan,Murano SV,2021,23677,3.5L V6 24V MPFI DOHC,Gasoline,Automatic CVT,Graphite,Sunset Drift Chromaflair,None reported,,29510
Buick,Envision Essence,2020,27340,2.5L I4 16V GDI DOHC,Gasoline,6-Speed Automatic,Ebony,Summit White,None reported,,31700
Chevrolet,Silverado 1500 RST,2020,26177,5.3L V8 16V GDI OHV,Gasoline,Automatic,Jet Black,Shadow Gray Metallic,,,41986
Pontiac,Solstice GXP,2009,122348,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Red,At least 1 accident or damage reported,Yes,10000
BMW,640 Gran Coupe i xDrive,2015,98000,315.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Beige,Black,None reported,Yes,22500
Tesla,Model 3 Standard Range Plus,2019,32300,Electric Motor Electric Fuel System,,A/T,Black,Black,None reported,Yes,29000
MINI,Countryman Cooper S,2019,18997,189.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Black,Red,None reported,Yes,26750
Porsche,Boxster GTS,2016,40350,330.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,Gasoline,7-Speed A/T,Black,Gray,None reported,Yes,67995
Ford,Expedition EL King Ranch,2011,156856,310.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,E85 Flex Fuel,6-Speed A/T,Brown,Black,None reported,Yes,14300
Bentley,Continental GT GT Speed,2022,1919,12 Cylinder Engine,Gasoline,8-SPEED A/T,Porpoise,Granite,None reported,,289991
BMW,X5 M Base,2017,61773,567.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Black,Gray,None reported,Yes,46000
Ford,Mustang GT Premium,2011,74500,412.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed M/T,Black,Black,None reported,Yes,22000
Jeep,Compass Sport,2016,99000,172.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed A/T,Gray,White,At least 1 accident or damage reported,Yes,5000
INFINITI,G37 Sport,2008,63496,330.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed M/T,Black,Black,None reported,Yes,15000
Ford,F-150 XLT,2022,18465,400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,10-Speed A/T,Gray,Black,None reported,Yes,47500
Porsche,911 Carrera 4S,2007,42635,355.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Blue,Blue,None reported,Yes,72995
INFINITI,G35 Base,2005,99000,298.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed M/T,Black,Silver,None reported,Yes,18900
Chrysler,300C Base,2013,87500,292.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Beige,White,None reported,Yes,13750
Toyota,Camry Solara SLE,2007,138000,210.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,Gasoline,5-Speed A/T,Beige,White,None reported,Yes,6800
Lexus,IS 300 Base,2018,70891,260.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Black,White,None reported,Yes,28995
Buick,Enclave Essence,2020,55403,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Gasoline,9-Speed A/T,Gray,Red,At least 1 accident or damage reported,Yes,29444
BMW,M4 Competition xDrive,2022,3213,503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Red,Black,None reported,Yes,89995
Pontiac,GTO Base,2005,142314,400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed M/T,Red,Red,At least 1 accident or damage reported,Yes,21999
Toyota,FJ Cruiser Base,2013,53000,260.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Blue,None reported,Yes,36740
Hyundai,Elantra SE,2014,120250,145.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Gray,Blue,None reported,Yes,7500
Porsche,Macan S,2015,72329,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Gasoline,7-Speed A/T,Black,Silver,None reported,Yes,29500
Hummer,H3 Base,2007,153692,242.0HP 3.7L 5 Cylinder Engine Gasoline Fuel,Gasoline,4-Speed A/T,Black,Beige,None reported,Yes,9995
Tesla,Model 3 Long Range,2021,32670,Electric Motor Electric Fuel System,,A/T,Black,White,None reported,Yes,37000
Ford,Transit-350 Base,2018,235000,275.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Gray,White,,,18000
Rivian,R1T Launch Edition,2022,8681,835.0HP Electric Motor Electric Fuel System,,A/T,Black,Gray,None reported,Yes,82000
Audi,S4 3.0 Prestige,2012,98400,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Gasoline,7-Speed A/T,White,White,None reported,Yes,18000
Toyota,4Runner SR5 Premium,2023,1400,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,White,None reported,Yes,46500
Tesla,Model 3 Mid Range,2018,32000,271.0HP Electric Motor Electric Fuel System,,A/T,Black,Black,None reported,Yes,29999
Ford,F-250 Base,1997,92800,210.0HP 5.8L 8 Cylinder Engine Gasoline Fuel,Gasoline,4-Speed A/T,Gray,White,None reported,Yes,9000
Mercedes-Benz,G-Class G 550 4MATIC,2021,75151,416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Black,None reported,Yes,130000
Subaru,Legacy 2.5 GT spec.B,2008,94000,243.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed M/T,Blue,Gray,None reported,Yes,12500
Mercedes-Benz,E-Class E 350,2014,67350,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,7-Speed A/T,–,Silver,At least 1 accident or damage reported,Yes,18700
BMW,M3 Base,2001,66500,333.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed M/T,Black,Red,None reported,Yes,21000
Mercedes-Benz,C-Class C 250 Sport,2014,70612,201.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,Gasoline,7-Speed A/T,Beige,White,None reported,Yes,14500
Toyota,Sienna XLE Limited,2007,112630,266.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,5-Speed A/T,Gray,Silver,At least 1 accident or damage reported,Yes,11500
Dodge,Avenger SE,2014,124705,283.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,E85 Flex Fuel,A/T,Black,Black,None reported,Yes,6499
BMW,M240 i,2018,61000,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed M/T,Black,Blue,At least 1 accident or damage reported,Yes,34000
RAM,3500 SLT,2017,157272,350.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,Diesel,6-Speed A/T,Gray,White,At least 1 accident or damage reported,Yes,32999
Mercedes-Benz,GL-Class GL 450 4MATIC,2015,84000,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Gasoline,7-Speed A/T,Gray,Blue,None reported,Yes,20399
Jeep,Gladiator Rubicon,2020,27981,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Red,None reported,Yes,47500
Bentley,Continental GT Base,2009,18000,552.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Beige,Blue,None reported,Yes,63000
Tesla,Model 3 Long Range,2019,27123,425.0HP Electric Motor Electric Fuel System,,A/T,Black,Red,None reported,Yes,38200
Chevrolet,Corvette Stingray w/2LT,2021,3053,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Gray,Silver,None reported,Yes,83900
Audi,Q5 3.0T Premium Plus,2015,60251,272.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Black,At least 1 accident or damage reported,Yes,19000
Mazda,MX-5 Miata Club,2021,5093,181.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed M/T,Black,Gray,None reported,Yes,28000
Bentley,Bentayga W12 Signature,2018,31875,600.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Black,White,None reported,Yes,115785
Mercedes-Benz,S-Class S500,2005,175722,302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Beige,White,None reported,Yes,7000
BMW,M6 Base,2015,17900,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,59900
GMC,Yukon SLT,2015,142792,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed A/T,Brown,White,None reported,Yes,22999
BMW,750 iL,2001,53814,326.0HP 5.4L 12 Cylinder Engine Gasoline Fuel,Gasoline,5-Speed A/T,Gray,Gray,,,11800
Toyota,Tundra Limited,2010,89400,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Gray,White,None reported,Yes,26900
Chrysler,300C Base,2007,86000,340.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Gasoline,5-Speed A/T,Black,Gray,None reported,Yes,15000
smart,ForTwo Pure,2008,61595,70.0HP 1.0L 3 Cylinder Engine Gasoline Fuel,Gasoline,5-Speed A/T,Gray,Blue,None reported,Yes,5000
Toyota,Tundra SR,2018,74000,381.0HP 5.7L 8 Cylinder Engine Flex Fuel Capability,E85 Flex Fuel,6-Speed A/T,Black,Beige,At least 1 accident or damage reported,Yes,38000
Hummer,H2 Base,2004,130000,316.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,Gasoline,4-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,16500
BMW,ALPINA B7 Base,2015,86000,540.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,29000
Land,Rover Range Rover Sport Supercharged,2008,140600,390.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed A/T,Beige,Red,None reported,Yes,7500
Audi,A4 2.0T Tech Premium,2018,27532,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,7-Speed A/T,Black,Gray,None reported,Yes,27900
Ford,Focus SE,2017,91000,160.0HP 2.0L 4 Cylinder Engine Flex Fuel Capability,E85 Flex Fuel,6-Speed A/T,Black,Gray,None reported,Yes,12500
Mercedes-Benz,E-Class E 550 4MATIC,2014,63000,402.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Gasoline,7-Speed A/T,Black,Silver,None reported,Yes,28500
Jeep,Wrangler Unlimited 4xe Sahara,2022,10500,375.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Plug-In Hybrid,8-Speed A/T,Beige,Green,None reported,Yes,49999
Mercedes-Benz,M-Class ML 350 4MATIC,2014,75073,302.0HP 3.5L V6 Cylinder Engine Flex Fuel Capability,E85 Flex Fuel,7-Speed A/T,Black,Gray,None reported,Yes,21500
Jeep,Wrangler Sahara,2008,140000,202.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,–,Silver,At least 1 accident or damage reported,Yes,9000
Mercedes-Benz,A-Class A 220 4MATIC,2019,30300,188.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,7-Speed A/T,Black,Silver,None reported,Yes,30500
Chevrolet,Malibu 1LT,2009,139000,169.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,White,None reported,Yes,4200
Hummer,H3 Base,2006,118000,220.0HP 3.5L 5 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Gray,None reported,Yes,17900
BMW,i8 Base,2015,51000,357.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas,Plug-In Hybrid,Transmission w/Dual Shift Mode,Brown,Gray,None reported,Yes,53000
Cadillac,XLR Base,2009,69423,320.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Beige,Red,None reported,Yes,36500
Lincoln,MKZ Select,2017,52284,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed A/T,Beige,Blue,At least 1 accident or damage reported,Yes,12500
Chevrolet,Silverado 1500 W/T,2006,111228,195.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Gray,Blue,At least 1 accident or damage reported,Yes,4000
Land,Rover Range Rover Sport HSE,2019,52300,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,49900
Nissan,Titan SL,2021,95993,5.6L V8 32V GDI DOHC,Gasoline,9-Speed Automatic,Black,White,None reported,Yes,32612
Kia,Telluride SX,2022,26716,"LAMBDA II 3.8L V-6 gasoline direct injection, DOHC, D-CVVT varia",Gasoline,Automatic,Black,Dark Moss,None reported,,47541
Chevrolet,Tahoe RST,2023,39517,5.3L V8 16V GDI OHV,Gasoline,10-Speed Automatic,Jet Black,Black,At least 1 accident or damage reported,,67190
Ford,Mustang GT Premium,2019,31600,460.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed M/T,Gray,Blue,None reported,Yes,41000
BMW,330 i,2017,83298,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Black,None reported,Yes,18300
Land,Rover Range Rover Sport 3.0L Supercharged HSE,2017,95212,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Beige,Brown,None reported,Yes,31599
Porsche,911 Carrera,2010,61600,345.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,Gasoline,7-Speed A/T,Black,Black,None reported,Yes,51750
INFINITI,QX56 Base,2011,130921,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,Gasoline,Transmission Overdrive Switch,Beige,White,None reported,Yes,12000
RAM,2500 Tradesman,2020,41000,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Gray,White,,,45515
BMW,840 i xDrive,2024,1500,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Brown,Gray,None reported,Yes,90000
MINI,Clubman Cooper S ALL4,2017,79950,189.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Blue,None reported,Yes,17390
Cadillac,Escalade ESV Premium Luxury Platinum,2021,31500,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Beige,White,None reported,Yes,95000
Audi,R8 5.2 V10 plus,2017,61000,610.0HP 5.2L 10 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Black,Gray,None reported,Yes,140000
RAM,2500 Big Horn,2021,45867,6.4L V8 16V MPFI OHV,Gasoline,Automatic,Diesel Gray / Black,Billet Silver Metallic Clearcoat,None reported,Yes,43449
Porsche,911 Carrera 4,2014,22700,350.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,Gasoline,7-Speed M/T,Black,Silver,At least 1 accident or damage reported,Yes,85500
Bentley,Continental GT Base,2009,43000,552.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Black,None reported,Yes,48500
Toyota,Tundra SR5,2015,99000,310.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed A/T,Gray,Gray,None reported,Yes,27000
Toyota,4Runner SR5,2006,135000,236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Gray,White,None reported,Yes,16900
Cadillac,CTS 2.0L Turbo Luxury,2019,46000,265.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Beige,Black,At least 1 accident or damage reported,Yes,29000
Ford,Focus SE,2014,79615,2.0L I4 16V GDI DOHC,Gasoline,6-Speed Automatic with Auto-Shift,Charcoal Black,Black,None reported,Yes,10995
BMW,M5 Base,2021,13250,4.4L V8 32V GDI DOHC Twin Turbo,Gasoline,8-Speed Automatic,Aragon Brown,Alpine White,None reported,,86900
Land,Rover Range Rover 3.0L V6 Supercharged HSE,2019,41200,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,60500
Cadillac,Escalade ESV Luxury,2016,116500,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Brown,Black,At least 1 accident or damage reported,Yes,30500
Acura,NSX Base,1993,75980,–,–,A/T,Black,Silver,None reported,Yes,90200
Chevrolet,Corvette Z06,2018,24059,650.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Black,Gray,None reported,Yes,87150
Audi,Q5 2.0T Premium Plus,2015,118500,220.0HP 2.0L 4 Cylinder Engine Flex Fuel Capability,E85 Flex Fuel,A/T,Black,Silver,At least 1 accident or damage reported,Yes,15400
BMW,ALPINA B7 ALPINA B7 xDrive,2020,15097,4.4 Liter Twin Turbo,Gasoline,Automatic,Black,Frozen Dark Silver Metallic,None reported,,99998
Maserati,Ghibli S Q4,2018,20000,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Brown,White,None reported,Yes,43000
BMW,228 Gran Coupe i xDrive,2020,10426,2.0 Liter Turbo,Gasoline,Automatic,Oyster/Black,Black Sapphire Metallic,None reported,,30798
Ford,Expedition Limited,2023,9500,400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,10-Speed A/T,Red,Black,At least 1 accident or damage reported,Yes,63500
Nissan,Frontier SE Crew Cab,2006,134000,265.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Gray,Gray,At least 1 accident or damage reported,Yes,8500
Subaru,BRZ Limited,2022,10500,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,–,Gray,None reported,Yes,32500
Chevrolet,Malibu LT,2018,53100,160.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed A/T,Black,Red,None reported,Yes,17500
Ford,Focus SEL,2017,80134,2.0L I4 16V GDI DOHC Flexible Fuel,E85 Flex Fuel,6-Speed Automatic with Auto-Shift,Charcoal Black,White,None reported,Yes,13895
Nissan,Rogue Sport S,2021,24000,141.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Gray,None reported,Yes,25500
Volvo,C70 T5,2006,61000,218.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed M/T,Beige,Blue,None reported,Yes,10299
Lincoln,Nautilus Reserve,2021,19700,335.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Beige,White,None reported,Yes,48000
Mercedes-Benz,AMG GT Base,2018,28182,469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Gasoline,7-Speed A/T,Brown,White,At least 1 accident or damage reported,Yes,84500
Ford,Mustang EcoBoost Premium,2017,59500,310.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Black,At least 1 accident or damage reported,Yes,21000
Ford,Ranger XLT,1999,115402,152.0HP 3.0L V6 Cylinder Engine Flex Fuel Capability,E85 Flex Fuel,A/T,Beige,Gold,None reported,Yes,8000
GMC,Yukon SLT,2018,85500,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Black,At least 1 accident or damage reported,Yes,35899
RAM,2500 Big Horn,2020,51000,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed A/T,Black,Red,None reported,Yes,44900
Tesla,Model Y Performance,2021,17500,455.0HP Electric Motor Electric Fuel System,,A/T,White,Gray,None reported,Yes,45000
Lexus,ES 350 Base,2011,132000,272.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Beige,Black,None reported,Yes,9999
Jeep,Wrangler Rubicon Hard Rock,2016,67882,3.6 Liter,Gasoline,Automatic,Black,White,None reported,,32798
Volvo,XC90 T6 Momentum,2018,62000,316.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Black,Silver,None reported,Yes,30500
Porsche,911 R,2016,12454,500.0HP 4.0L Flat 6 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed M/T,Black,Purple,None reported,Yes,210000
BMW,M6 Gran Coupe Base,2017,27965,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Gasoline,7-Speed A/T,Black,Green,None reported,Yes,58000
Cadillac,Escalade ESV Platinum Edition,2013,119000,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,E85 Flex Fuel,A/T,Black,Black,,,20500
BMW,X5 xDrive35i,2018,48000,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Black,Black,None reported,Yes,32000
BMW,X5 xDrive40i,2020,5541,3.0 Liter Turbo,Gasoline,Automatic,Black,White,None reported,,56598
Mitsubishi,Outlander SEL,2018,29000,166.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Beige,Red,None reported,Yes,19500
Dodge,Ram 1500 ST,2010,131100,310.0HP 4.7L 8 Cylinder Engine Flex Fuel Capability,E85 Flex Fuel,A/T,Gray,White,At least 1 accident or damage reported,Yes,12995
Subaru,Impreza 2.0i,2015,102242,"2L H-4 DOHC, variable valve control, regular unleaded, engine wi",Gasoline,Manual,Black,Quartz Blue Pearl,At least 1 accident or damage reported,,11498
Mercedes-Benz,Maybach S S 600,2016,18069,523.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,Gasoline,7-Speed A/T,Black,Black,None reported,Yes,79999
Kia,Sportage LX,2023,13000,187.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,White,None reported,Yes,31900
Porsche,911 Turbo Cabriolet,2008,51000,480.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Black,Silver,At least 1 accident or damage reported,Yes,69500
Hummer,H3 Base,2007,137333,242.0HP 3.7L 5 Cylinder Engine Gasoline Fuel,Gasoline,4-Speed A/T,Black,Blue,At least 1 accident or damage reported,Yes,10000
Buick,LaCrosse Leather,2014,125559,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Beige,White,At least 1 accident or damage reported,Yes,11200
